/local_datasets/something-something/clip_768_ssv2/38483.npy 146
/local_datasets/something-something/clip_768_ssv2/145581.npy 135
/local_datasets/something-something/clip_768_ssv2/141174.npy 27
/local_datasets/something-something/clip_768_ssv2/99589.npy 35
/local_datasets/something-something/clip_768_ssv2/113250.npy 134
/local_datasets/something-something/clip_768_ssv2/167621.npy 55
/local_datasets/something-something/clip_768_ssv2/54845.npy 8
/local_datasets/something-something/clip_768_ssv2/75667.npy 67
/local_datasets/something-something/clip_768_ssv2/49647.npy 103
/local_datasets/something-something/clip_768_ssv2/125430.npy 19
/local_datasets/something-something/clip_768_ssv2/208730.npy 37
/local_datasets/something-something/clip_768_ssv2/84072.npy 166
/local_datasets/something-something/clip_768_ssv2/182994.npy 72
/local_datasets/something-something/clip_768_ssv2/172203.npy 106
/local_datasets/something-something/clip_768_ssv2/161038.npy 148
/local_datasets/something-something/clip_768_ssv2/99565.npy 166
/local_datasets/something-something/clip_768_ssv2/165836.npy 12
/local_datasets/something-something/clip_768_ssv2/103873.npy 70
/local_datasets/something-something/clip_768_ssv2/50759.npy 164
/local_datasets/something-something/clip_768_ssv2/192951.npy 173
/local_datasets/something-something/clip_768_ssv2/173353.npy 114
/local_datasets/something-something/clip_768_ssv2/47885.npy 106
/local_datasets/something-something/clip_768_ssv2/5437.npy 36
/local_datasets/something-something/clip_768_ssv2/85127.npy 105
/local_datasets/something-something/clip_768_ssv2/207692.npy 59
/local_datasets/something-something/clip_768_ssv2/97957.npy 12
/local_datasets/something-something/clip_768_ssv2/37652.npy 109
/local_datasets/something-something/clip_768_ssv2/78346.npy 73
/local_datasets/something-something/clip_768_ssv2/32592.npy 20
/local_datasets/something-something/clip_768_ssv2/13321.npy 135
/local_datasets/something-something/clip_768_ssv2/118505.npy 107
/local_datasets/something-something/clip_768_ssv2/119984.npy 87
/local_datasets/something-something/clip_768_ssv2/51807.npy 49
/local_datasets/something-something/clip_768_ssv2/77759.npy 145
/local_datasets/something-something/clip_768_ssv2/165021.npy 159
/local_datasets/something-something/clip_768_ssv2/190451.npy 115
/local_datasets/something-something/clip_768_ssv2/39044.npy 74
/local_datasets/something-something/clip_768_ssv2/209357.npy 14
/local_datasets/something-something/clip_768_ssv2/156504.npy 12
/local_datasets/something-something/clip_768_ssv2/214564.npy 28
/local_datasets/something-something/clip_768_ssv2/120077.npy 66
/local_datasets/something-something/clip_768_ssv2/110064.npy 68
/local_datasets/something-something/clip_768_ssv2/118741.npy 160
/local_datasets/something-something/clip_768_ssv2/179555.npy 9
/local_datasets/something-something/clip_768_ssv2/61788.npy 30
/local_datasets/something-something/clip_768_ssv2/4322.npy 53
/local_datasets/something-something/clip_768_ssv2/120002.npy 45
/local_datasets/something-something/clip_768_ssv2/26316.npy 162
/local_datasets/something-something/clip_768_ssv2/4380.npy 9
/local_datasets/something-something/clip_768_ssv2/64702.npy 104
/local_datasets/something-something/clip_768_ssv2/151177.npy 93
/local_datasets/something-something/clip_768_ssv2/2562.npy 5
